Country,users_nb,ratings_avg,total_ratings,ratings/user,wines_count,wineries_nb
Allemagne,2549989,4.500000000000001,8257,0.0,164533,13643
Israël,150549,4.5,894,0.01,5435,529
États-Unis,12273684,4.4905405405405405,834263,0.07,204060,28145
Moldavie,13583,4.4799999999999995,14114,1.04,5055,418
Hongrie,102235,4.472727272727273,30564,0.3,16605,1923
Afrique du Sud,269649,4.459090909090909,59995,0.22,30857,4227
Australie,1022965,4.458333333333333,52138,0.05,90954,13946
France,5973301,4.447129909365562,2124809,0.36,422503,67553
Espagne,2264396,4.4436170212765935,746710,0.33,102662,18026
Portugal,1123535,4.435714285714287,62454,0.06,39847,5834
Chili,326757,4.43125,159256,0.49,41191,5785
Italie,4270717,4.430026109660581,2135839,0.5,274658,42399
Argentine,629532,4.417391304347826,283673,0.45,36121,5339
Grèce,95693,4.4,610,0.01,9581,1294
Roumanie,228185,4.4,166,0.0,6841,686
Suisse,1601799,4.35,1047,0.0,33656,3849
Croatie,64223,4.3,292,0.0,5880,980
