name,id,keyword_id,wine_id,id,group_name,keyword_type,name,flavor_count
citrus,106,106,7219675,7219675,citrus_fruit,primary,Cristal Vinothèque,5
toast,417,417,7122486,7122486,non_oak,primary,Grande Cuvée,5
coffee,117,117,5994988,5994988,oak,primary,Puligny-Montrachet 1er Cru 'Les Champs Gains',5
coffee,117,117,5725324,5725324,oak,primary,TD9,5
coffee,117,117,5313010,5313010,oak,primary,Le Petit Cheval Bordeaux Blanc,5
citrus,106,106,4402538,4402538,citrus_fruit,primary,Pessac-Léognan Blanc (Grand Cru Classé de Graves),5
toast,417,417,3630450,3630450,non_oak,primary,Cuvée des Enchanteleurs Brut Champagne,5
toast,417,417,3102815,3102815,non_oak,primary,P2 Plénitude Brut Champagne,5
coffee,117,117,2951484,2951484,oak,primary,Amour de Deutz Millesimé Rosé Brut Champagne,5
coffee,117,117,2738226,2738226,oak,primary,Brunello di Montalcino,5
green apple,195,195,2486585,2486585,tree_fruit,primary,VT Vendemmia Tardiva,5
coffee,117,117,2446729,2446729,oak,primary,Toscana,5
green apple,195,195,2284844,2284844,tree_fruit,primary,Aile d'Argent Blanc Bordeaux,5
green apple,195,195,2240674,2240674,tree_fruit,primary,Brut Champagne (Gold),5
green apple,195,195,2148396,2148396,tree_fruit,primary,V.P Extra Brut Champagne Grand Cru 'Ambonnay',5
toast,417,417,2114480,2114480,non_oak,primary,Brut Rosé Champagne,5
green apple,195,195,2025939,2025939,tree_fruit,primary,Champagne,5
green apple,195,195,1958101,1958101,tree_fruit,primary,Vin de Constance (Natural Sweet),5
citrus,106,106,1950121,1950121,citrus_fruit,primary,Ribolla Gialla,5
green apple,195,195,1913596,1913596,tree_fruit,primary,Tokaji Aszú 5 Puttonyos,5
coffee,117,117,1882725,1882725,oak,primary,Evenstad Reserve Pinot Noir,5
green apple,195,195,1789271,1789271,tree_fruit,primary,5 Puttonyos Aszú (Blue Label),5
coffee,117,117,1779833,1779833,oak,primary,Corton-Charlemagne Grand Cru,5
green apple,195,195,1776233,1776233,tree_fruit,primary,Blanc,5
coffee,117,117,1716277,1716277,oak,primary,Cuvée Risleus Brut Champagne Premier Cru,5
toast,417,417,1692390,1692390,non_oak,primary,Sir Winston Churchill Brut Champagne,5
coffee,117,117,1684223,1684223,oak,primary,Pauillac (Premier Grand Cru Classé),5
toast,417,417,1636506,1636506,non_oak,primary,Reserva Particular de Recaredo Gran Reserva Brut Nature,5
coffee,117,117,1605285,1605285,oak,primary,Pessac-Léognan (Grand Cru Classé de Graves),5
coffee,117,117,1598758,1598758,oak,primary,Bâtard-Montrachet Grand Cru,5
toast,417,417,1476982,1476982,non_oak,primary,Cava Celler Batlle,5
toast,417,417,1441099,1441099,non_oak,primary,Blanc des Millénaires,5
toast,417,417,1384933,1384933,non_oak,primary,La Grande Dame Brut Rosé Champagne,5
coffee,117,117,1324170,1324170,oak,primary,Dalmau Rioja,5
